date,HourlyDryBulbTemperature,HourlyRelativeHumidity,HourlyWindSpeed,HourlyWindDirection,HourlyDewPointTemperature
2013-01-01 05:00:00,55.0,64.0,2.0,340.0,43.0
2013-01-01 07:10:00,55.0,63.0,9.0,300.0,43.0
2013-01-01 07:47:00,55.0,63.0,9.0,300.0,43.0
2013-01-01 08:00:00,54.0,69.0,4.0,340.0,44.0
2013-01-01 10:41:00,63.0,59.0,14.0,340.0,48.0
2013-01-01 11:00:00,65.0,50.0,9.0,340.0,46.0
2013-01-01 11:45:00,64.0,52.0,14.0,330.0,46.0
2013-01-01 12:43:00,68.0,43.0,14.0,350.0,45.0
2013-01-01 13:42:00,68.0,64.0,23.0,360.0,55.0
2013-01-01 14:00:00,66.0,43.0,9.0,330.0,43.0
2013-01-01 14:43:00,68.0,64.0,23.0,360.0,55.0
2013-01-01 15:42:00,68.0,49.0,21.0,340.0,48.0
2013-01-01 16:40:00,66.0,43.0,17.0,340.0,43.0
2013-01-01 17:41:00,66.0,43.0,23.0,340.0,43.0
2013-01-01 18:43:00,61.0,72.0,17.0,340.0,52.0
2013-01-02 05:00:00,56.0,60.0,4.0,340.0,42.0
2013-01-02 07:44:00,57.0,72.0,7.0,340.0,48.0
2013-01-02 08:00:00,56.0,64.0,2.0,340.0,44.0
2013-01-02 08:45:00,59.0,72.0,11.0,340.0,50.0
2013-01-02 10:44:00,64.0,68.0,9.0,340.0,54.0
2013-01-02 11:00:00,66.0,47.0,9.0,340.0,45.0
2013-01-02 11:43:00,66.0,68.0,11.0,360.0,55.0
2013-01-02 12:44:00,68.0,64.0,9.0,360.0,55.0
2013-01-02 13:50:00,68.0,64.0,23.0,20.0,55.0
2013-01-02 14:00:00,70.0,49.0,7.0,40.0,50.0
2013-01-02 14:42:00,68.0,78.0,23.0,360.0,61.0
2013-01-02 15:47:00,68.0,78.0,23.0,360.0,61.0
2013-01-02 16:42:00,66.0,78.0,23.0,340.0,59.0
2013-01-02 17:00:00,65.0,58.0,9.0,60.0,50.0
2013-01-02 17:43:00,63.0,83.0,23.0,340.0,57.0
2013-01-02 18:43:00,61.0,72.0,7.0,340.0,52.0
2013-01-02 20:00:00,58.0,74.0,0.0,0.0,50.0
2013-01-03 05:00:00,58.0,68.0,2.0,340.0,48.0
2013-01-03 07:09:00,57.0,55.0,0.0,0.0,41.0
2013-01-03 07:40:00,57.0,63.0,0.0,0.0,45.0
2013-01-03 08:00:00,58.0,56.0,2.0,340.0,42.0
2013-01-03 08:52:00,59.0,63.0,7.0,300.0,46.0
2013-01-03 09:48:00,61.0,55.0,7.0,300.0,45.0
2013-01-03 10:48:00,64.0,60.0,7.0,30.0,50.0
2013-01-03 11:00:00,66.0,45.0,2.0,60.0,44.0
2013-01-03 11:47:00,64.0,60.0,7.0,60.0,50.0
2013-01-03 12:46:00,64.0,60.0,11.0,40.0,50.0
2013-01-03 13:44:00,66.0,68.0,9.0,360.0,55.0
2013-01-03 14:00:00,68.0,49.0,7.0,60.0,48.0
2013-01-03 14:42:00,68.0,64.0,11.0,360.0,55.0
2013-01-03 15:43:00,68.0,64.0,21.0,360.0,55.0
2013-01-03 16:41:00,68.0,64.0,23.0,360.0,55.0
2013-01-03 17:43:00,63.0,77.0,23.0,350.0,55.0
2013-01-03 18:42:00,61.0,72.0,11.0,340.0,52.0
2013-01-04 05:00:00,51.0,82.0,0.0,0.0,46.0
2013-01-04 07:43:00,59.0,68.0,7.0,340.0,48.0
2013-01-04 08:00:00,54.0,68.0,2.0,360.0,44.0
2013-01-04 08:45:00,61.0,68.0,7.0,340.0,50.0
2013-01-04 09:46:00,63.0,68.0,9.0,340.0,52.0
2013-01-04 11:00:00,67.0,45.0,9.0,340.0,45.0
2013-01-04 11:43:00,66.0,60.0,9.0,340.0,52.0
2013-01-04 12:46:00,68.0,64.0,21.0,360.0,55.0
2013-01-04 13:50:00,68.0,64.0,18.0,360.0,55.0
2013-01-04 14:00:00,72.0,38.0,7.0,20.0,45.0
2013-01-04 15:44:00,68.0,64.0,18.0,360.0,55.0
2013-01-04 16:46:00,68.0,64.0,21.0,360.0,55.0
2013-01-04 17:42:00,64.0,73.0,14.0,360.0,55.0
2013-01-05 05:00:00,58.0,65.0,4.0,340.0,46.0
2013-01-05 06:45:00,57.0,72.0,9.0,300.0,48.0
2013-01-05 07:50:00,57.0,72.0,9.0,300.0,48.0
2013-01-05 08:00:00,58.0,64.0,11.0,340.0,46.0
2013-01-05 11:00:00,68.0,44.0,11.0,330.0,45.0
2013-01-05 11:52:00,68.0,53.0,9.0,360.0,50.0
2013-01-05 12:47:00,68.0,53.0,0.0,0.0,50.0
2013-01-05 13:45:00,70.0,57.0,11.0,300.0,54.0
2013-01-05 14:00:00,74.0,33.0,4.0,330.0,43.0
2013-01-05 14:41:00,70.0,57.0,9.0,340.0,54.0
2013-01-05 15:43:00,73.0,50.0,9.0,340.0,54.0
2013-01-05 17:00:00,71.0,54.0,4.0,360.0,53.0
2013-01-05 17:43:00,68.0,60.0,11.0,340.0,54.0
2013-01-05 18:40:00,64.0,60.0,0.0,0.0,50.0
2013-01-05 20:00:00,63.0,51.0,2.0,360.0,44.0
2013-01-06 05:00:00,57.0,61.0,4.0,340.0,43.0
2013-01-06 06:49:00,59.0,72.0,11.0,300.0,50.0
2013-01-06 07:41:00,59.0,72.0,11.0,300.0,50.0
